country,four_regions,eight_regions,six_regions,members_oecd_g77,un_member_since,world_bank_region,world_bank_income_group,bmi,child_mortality,children_per_woman,co2_emissions,health_spending,poverty,Income,literacy_rate 
Australia,asia,east_asia_pacific,east_asia_pacific,oecd,1/11/1945,East Asia & Pacific,High income,26.8,5.4,1.92,17.8,3960,,40700,
Brunei,asia,east_asia_pacific,east_asia_pacific,g77,21/9/1984,East Asia & Pacific,High income,22.9,11.1,1.81,22.5,783,,84500,
Cambodia,asia,east_asia_pacific,east_asia_pacific,g77,14/12/1955,East Asia & Pacific,Lower middle income,21.6,56,3.09,0.253,31.8,,2330,
China,asia,east_asia_pacific,east_asia_pacific,g77,24/10/1945,East Asia & Pacific,Upper middle income,22.9,20,1.58,5.26,115,,7290,
Fiji,asia,east_asia_pacific,east_asia_pacific,g77,13/10/1970,East Asia & Pacific,Upper middle income,29.1,23.8,2.77,1.39,152,,7380,
Indonesia,asia,east_asia_pacific,east_asia_pacific,g77,28/9/1950,East Asia & Pacific,Lower middle income,22.9,38,2.51,1.61,50.6,84.8,7450,
Japan,asia,east_asia_pacific,east_asia_pacific,oecd,18/12/1956,East Asia & Pacific,High income,21.9,3.5,1.33,9.74,2810,,36700,
Kiribati,asia,east_asia_pacific,east_asia_pacific,others,14/9/1999,East Asia & Pacific,Lower middle income,31.1,64.5,3.88,0.533,177,,1910,
Laos,asia,east_asia_pacific,east_asia_pacific,g77,14/12/1955,East Asia & Pacific,Lower middle income,21.9,89,3.42,0.153,27.6,88.7,3320,
Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,17/9/1957,East Asia & Pacific,Upper middle income,25.3,7.9,2.22,6.94,262,14.3,20700,
Marshall Islands,asia,east_asia_pacific,east_asia_pacific,g77,17/9/1991,East Asia & Pacific,Upper middle income,31.2,39.4,,1.9,490,,3370,
"Micronesia, Fed. Sts.",asia,east_asia_pacific,east_asia_pacific,g77,17/9/1991,East Asia & Pacific,Lower middle income,31.1,43.9,3.66,1.33,279,,3260,
Mongolia,asia,east_asia_pacific,east_asia_pacific,g77,27/10/1961,East Asia & Pacific,Lower middle income,25.6,34.5,2.33,4.66,73.6,41.8,7060,
Myanmar,asia,east_asia_pacific,east_asia_pacific,g77,19/4/1948,East Asia & Pacific,Lower middle income,22.3,72.5,2.59,0.262,7.53,,2840,
New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,24/10/1945,East Asia & Pacific,High income,27.3,6.4,2.11,7.95,2690,,33200,
North Korea,asia,east_asia_pacific,east_asia_pacific,g77,17/9/1991,East Asia & Pacific,Low income,21.3,32.2,2,2.65,,,1390,
Papua New Guinea,asia,east_asia_pacific,east_asia_pacific,g77,10/10/1975,East Asia & Pacific,Lower middle income,25.6,70.4,4.16,0.923,32.2,,1840,
Philippines,asia,east_asia_pacific,east_asia_pacific,g77,24/10/1945,East Asia & Pacific,Lower middle income,23.4,34.2,3.35,0.808,57.3,,5180,
Samoa,asia,east_asia_pacific,east_asia_pacific,g77,15/12/1976,East Asia & Pacific,Upper middle income,33.4,19.2,4.45,0.945,165,,5710,
Singapore,asia,east_asia_pacific,east_asia_pacific,g77,21/9/1965,East Asia & Pacific,High income,22.9,2.9,1.29,4.21,1230,,68400,
Solomon Islands,asia,east_asia_pacific,east_asia_pacific,g77,19/9/1978,East Asia & Pacific,Lower middle income,28.7,28.7,4.41,0.365,69.1,,1750,
South Korea,asia,east_asia_pacific,east_asia_pacific,oecd,17/9/1991,East Asia & Pacific,High income,23.3,4.8,1.16,10.1,1370,,28000,
Thailand,asia,east_asia_pacific,east_asia_pacific,g77,16/12/1946,East Asia & Pacific,Upper middle income,24.3,16.7,1.56,3.81,130,24.8,12600,
Timor-Leste,asia,east_asia_pacific,east_asia_pacific,g77,27/9/2002,East Asia & Pacific,Lower middle income,21.4,72.9,6.59,0.172,57.8,97.6,1360,50.6
Tonga,asia,east_asia_pacific,east_asia_pacific,g77,14/9/1999,East Asia & Pacific,Upper middle income,34,16.8,4.06,1.11,205,,4640,
Vanuatu,asia,east_asia_pacific,east_asia_pacific,g77,15/9/1981,East Asia & Pacific,Lower middle income,28.3,28.7,3.68,0.45,89.5,,2830,
Vietnam,asia,east_asia_pacific,east_asia_pacific,g77,20/9/1977,East Asia & Pacific,Lower middle income,21,24.3,1.91,1.22,58.4,,3910,
Albania,europe,europe_east,europe_central_asia,others,14/12/1955,Europe & Central Asia,Upper middle income,25.6,18.6,1.67,1.3,232,,8450,
